Row,EFM_1_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_2_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_3_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_4_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_5_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_6_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_7_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_8_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_9_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_10_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_11_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_12_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_13_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_14_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_15_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_16_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_17_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_18_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_19_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_20_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_21_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_22_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_23_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_24_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_25_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_26_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_27_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_28_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_29_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_30_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_31_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_32_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_33_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_34_anchor_EX_lys__L_e_f,EFM_35_anchor_EX_lys__L_e_f,EFM_36_anchor_EX_lys__L_e_f,EFM_37_anchor_EX_lys__L_e_f,EFM_38_anchor_EX_lys__L_e_f,EFM_39_anchor_EX_lys__L_e_f,EFM_40_anchor_EX_lys__L_e_f,EFM_41_anchor_EX_lys__L_e_f,EFM_42_anchor_EX_lys__L_e_f,EFM_43_anchor_EX_lys__L_e_f,EFM_44_anchor_EX_lys__L_e_f,EFM_45_anchor_EX_lys__L_e_f,EFM_46_anchor_EX_lys__L_e_f,EFM_47_anchor_EX_lys__L_e_f,EFM_48_anchor_EX_lys__L_e_f,EFM_49_anchor_EX_arbtn_fe3_e_f,EFM_50_anchor_EX_arbtn_fe3_e_f,EFM_51_anchor_LYStex_b,EFM_52_anchor_LYStex_b,EFM_53_anchor_LYStex_b,EFM_54_anchor_LYStex_b,EFM_55_anchor_LYStex_b,EFM_56_anchor_LYStex_b,EFM_57_anchor_LYStex_b,EFM_58_anchor_LYStex_b,EFM_59_anchor_LYStex_b
URIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031272886162222,0.0311977939589669,0.0315177547505659,0.0315120361522825,0.0315222933837079,0.0313996676606842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SADT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OPHBDC,0.0008461900018046,0.00103259443169974,0.000303025583820551,0.00391233916948976,0.000233001613123633,0.000254790412592827,0.000375059289800802,0.000556376929800463,0.00328960173296956,7.92105017426278e-05,0.000259503998520333,0.000372083889316132,0.00301495474686912,0.00286505683528049,0.00305870772551558,0.0030513631810744,0.00308265759183167,0.00308209827278903,0.00308310150200301,0.0030711078457599,0.00125552796382445,1.115e-05,0.0003702308229603,0.0003702325942255,1.11499999775333e-05,0.000865969552704314,0.000503202296581546,0.00309852705428263,0.000263562391627806,0.000649512543311967,0.000784846410899318,0.000842652863774139,0.00135323066404119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AACPS1,0,0,0,0.143002137087493,0,0,0,0,0,0,0,0.0136002501426716,0.110201327989821,0.104722324055476,0.111800568029944,0.111532113403307,0.112675973233273,0.11265552924441,0.112692198846756,0.112253811886946,0,0,0,0,0,0,0,0,0,0,0.0286873681400912,0.0308002847202826,0.0494627046753352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OHPHM,0.0008461900018046,0.00103259443169974,0.000303025583820551,0.00391233916948976,0.000233001613123633,0.000254790412592827,0.000375059289800802,0.000556376929800463,0.00328960173296956,7.92105017426278e-05,0.000259503998520333,0.000372083889316132,0.00301495474686912,0.00286505683528049,0.00305870772551558,0.0030513631810744,0.00308265759183167,0.00308209827278903,0.00308310150200301,0.0030711078457599,0.00125552796382445,1.115e-05,0.0003702308229603,0.0003702325942255,1.11499999775333e-05,0.000865969552704314,0.000503202296581546,0.00309852705428263,0.000263562391627806,0.000649512543311967,0.000784846410899318,0.000842652863774139,0.00135323066404119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHMT2r_f,0,0,0,0.443006620487829,0,0,0,0,0,0,0,0,0,0.324419507388643,0,0,0,0,0,0,0,0,0.0441437997833696,0.0441440109769588,8.91999999326036e-05,0.00692775642163451,0.00402561837265237,0.0247882164342599,0,0,0.00235453923269796,0.00252795859132242,0.00405969199212358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHORD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LCARS_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0681492119602,32.0681143622521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCD19_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RMPA_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
