Row,EFM_1_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_2_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_3_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_4_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_5_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_6_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_7_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_8_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_9_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_10_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_11_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_12_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_13_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_14_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_15_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_16_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_17_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_18_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_19_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_20_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_21_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_22_anchor_BIOMASS_Ec_iML1515_WT_75p37M
EX_g1p_e_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLCtex_copy2_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAt3pp,0,0,0,0,0,0,0,0,0,1.36323312054176,0,0,0,0,0,0,0,0,0,0,0,0
MINOHPtexi,0,0,0,0.465058450029926,0,0,0,0,0.247295335801104,0,0,0,0,0,0,0,0,0,0,0,0,0
SFGTHi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PYDAMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHORDfum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K2L4Aabcpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FACOAE120,0.0680012507133582,0.551006639949104,0.523611620277381,0.559002840149719,0.557660567016534,0.563379866166366,0.563277646222049,0.563460994233778,0.561269059434731,0.275349105824208,0.0024453,0.0811951059537958,0.081195494408934,0.0085104,0.660963881734063,0.384076486531622,2.36499593208671,0.057801714461657,0.142444217234148,0.143436840700456,0.154001423601413,0.247313523376676
3OAR120_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3HAD80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3HAD120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EAR180x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKGtex_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SO4t2pp,0,0,0.0530099753469384,0.0565929510111089,0.0564570604713586,0.0570360772372083,0.057025728580841,0.0570442905706924,0.0568223810385891,0,0,0,0,0,0,0,0,0,0,0.0145214183469533,0.0155909673360184,0.025037801434233
EAR180y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGPAT120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHNAOT4,0.00074416777863226,0.0060299094937382,0.00573011367056096,0.00611741545103116,0.00610272636214879,0.00616531518366333,0.00616419654557807,0.00616620300400602,0.00614221569151981,0.00251105592764889,2.23e-05,0.000740461645920601,0.000740465188451,2.23e-05,0.00173193910540863,0.00100640459316309,0.00619705410856525,0.000527124783255613,0.433009333078745,0.00156969282179864,0.00168530572754828,0.00270646132808238
AMPMS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DM_oxam_c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALR4x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGPP120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAGK120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALLTNtex_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSSA180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASNtex_f,0,0,0,3.21276783839895,3.2050533660512,3.23792400470814,3.23733651404449,3.23839027361959,3.22579252434096,0,0,0,0,0.388894708333327,30.1707067495486,17.5317583901145,6.50918555137873,0.553674853056182,0,0,0,0
PSSA161,0.0573142672556461,0.464411190829389,0.441321534941186,0.47115071915453,0.470019395829173,0.474839857755236,0.474753702557414,0.474908235846652,0.473060782519519,0.193396347790895,0.0017175,0.104564058896771,0.104502300309769,0.0017175,0.133390377288759,0.0775112057738838,0.477284324280754,0.0405980634637451,0.100048232568458,0.12089450320355,0.129798770720366,0.208446068653879
PSSA141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
