metabolite_id,equilibrator_id
anhgm3p_p,cpd15397
spmd_p,C00315
phe__L_c,C00079
anhm4p_c,cpd15401
15dap_c,C01672
ni2_p,C19609
ser__D_c,C00740
udcpp_p,C00348
mlthf_c,C00143
xmp_p,C00655
mg2_p,C00305
pacald_e,C00601
anhgm_c,cpd15396
frdp_c,C00448
cyan_p,C00177
pant__R_c,C00522
LalaDgluMdapDala_p,cpd15387
mercppyr_c,C00957
garagund_c,cpd15470
glcur_c,C00191
udpg_p,C00029
inost_e,C00137
fe3dhbzs_e,cpd15460
cytd_e,C00475
o16a3und_p,cpd15517
sulfac_p,C14179
2dmmql8_c,CHEBI:61873
t3c7mrseACP_c,cpd15570
g3pe_c,C01233
cu2_c,C00070
t3c11vaceACP_c,cpd15568
tcynt_e,C01755
glyclt_e,C00160
pg180_c,cpd15540
12ppd__S_e,C02917
14glucan_c,cpd21754
cdpdodec11eg_c,CHEBI:104362
1pyr5c_c,C03912
1agpe160_p,CHEBI:73004
ppa_e,MNXM162260
pgp120_p,MNXM5266
chtbs6p_c,C21152
1agpg180_p,CHEBI:72827
acmum_p,C02713
quin_p,C00296
malttr_p,C01835
psclys_c,CHEBI:61403
slnt_e,C05684
colipap_e,MNXM147454
acald_p,C00084
moadcoo_c,MNXM148353
gly_p,C00037
dhgly_c,C15809
lipopb_c,MNXM147499
2ippm_c,C02631
ser__D_p,C00740
f_c,
o2s_p,C00704
23cump_p,C02355
3psme_c,C01269
imacp_c,C01267
3c2hmp_c,C04411
xan_e,C00385
udpLa4fn_c,C16154
pser__L_c,C01005
uacgam_e,C00043
ttdcea_e,MNXM641
4abut_c,C00334
tma_c,C00565
ocdcaACP_c,MNXM3075
pg160_c,CHEBI:72829
gmp_c,C00144
12dgr120_c,MNXM4939
uama_c,C01212
trp__L_p,C00078
gua_c,C00242
lcts_p,C00243
pa160_p,CHEBI:72859
udcpdp_c,CHEBI:15284
2odec11eg3p_c,cpd15357
fruur_e,C00905
glu__D_c,C00217
frulys_p,C16488
12ppd__R_p,C02912
f6p_p,C05345
3ophb_c,C05809
kdo2lipid4_e,C06025
pmtcoa_c,C00154
dump_e,C00365
3dhsk_c,C02637
3amp_p,C01367
acACP_c,C03939
kphphhlipa_c,cpd15492
5pg35pg_c,C18076
urate_p,C00366
udpgalfur_c,C03733
h2o_c,C00001
gagicolipa_c,cpd15469
feenter_p,C06230
hg2_p,C00703
ala__D_c,C00133
glcr_p,C00818
alac__S_c,C06010
2amsa_c,C11822
dsbaox_p,cpd15446
tre_p,C01083
pa161_p,cpd15525
dcdp_c,C00705
imp_e,C00130
db4p_c,C15556
ca2_c,C00076
feoxam_un_p,cpd15463
galctn__L_p,C15930
nmn_c,C00455
gal1p_e,C00446
gly_c,C00037
2fe1s_c,MNXM147395
LalaDglu_c,C20957
flxso_c,MNXM145809
h2o2_c,C00027
malcoa_c,C00083
fru_p,C00095
xyl__D_e,C00181
galctn__D_e,C00880
gal_c,C00124
phom_c,C01102
glc__D_e,C00031
indole_p,C00463
3odcoa_c,C05265
fmnh2_c,C01847
ppal_c,C00479
